game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64730952,29,1,20,3,2,75,22,20,3,2,74,3,19,4,1,90,11,19,4,1,44,25,19,5,0,1,15,19,3,2
64730610,42,24,19,4,1,45,4,19,4,1,72,11,19,4,1,45,4,19,4,1,72,11,19,4,1,64,24,19,5,0
64730255,28,3,19,4,1,30,13,20,5,0,31,7,20,3,2,28,3,20,4,1,64,24,20,4,1,5,6,19,4,1
64729657,7,2,20,4,1,89,9,20,5,0,22,3,20,4,1,28,3,20,4,1,64,24,20,4,1,5,6,20,4,1
64729180,2,11,19,4,1,56,20,19,3,2,37,15,20,4,1,87,24,18,2,1,56,20,18,3,1,27,6,19,4,0
64728766,71,14,20,3,2,69,9,19,3,1,1,15,20,4,1,73,24,20,5,0,72,11,20,3,2,78,16,20,3,2
64726906,26,9,20,3,2,49,19,20,3,2,22,3,20,4,1,28,3,20,5,0,33,1,20,5,0,63,15,19,4,1
64701399,70,6,19,3,2,74,3,19,5,0,30,13,19,5,0,28,3,19,5,0,89,9,19,2,2,78,16,19,4,0
64700688,78,16,19,4,1,74,3,19,5,0,72,11,20,3,2,50,21,19,3,0,1,18,19,5,0,15,6,19,4,1
64699377,72,11,19,0,5,88,3,18,5,0,29,1,19,5,0,36,5,19,4,0,21,9,19,4,0,27,16,18,2,1
64699151,64,24,19,4,1,9,10,19,4,1,82,21,19,3,2,12,7,19,4,0,67,14,19,5,0,74,3,19,4,1
64663728,74,3,18,3,0,14,21,19,4,1,29,1,19,4,1,14,21,19,5,0,1,18,19,4,1,72,11,20,5,0
64662627,90,11,20,3,2,63,15,18,4,1,11,18,20,3,2,72,11,19,4,1,67,14,19,3,1,30,13,18,4,0
64662274,72,11,19,5,0,39,21,19,5,0,1,15,19,4,1,67,14,20,5,0,55,14,19,5,0,72,11,20,2,3
